

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
208.969  000.113  000.113: require('which-key.plugins.registers')
209.167  000.107  000.107: require('which-key.colors')
214.043  016.856: VimEnter autocommands
214.074  000.030: UIEnter autocommands
239.275  023.788  023.788: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\autoload\provider\clipboard.vim
239.290  001.429: before starting main loop
239.606  000.316: first screen update
239.610  000.004: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.016  000.016: --- NVIM STARTING ---
000.059  000.043: event init
000.151  000.093: early init
009.944  009.792: locale set
010.012  000.068: init first window
010.534  000.523: inits 1
010.581  000.046: window checked
010.587  000.006: parsing arguments
011.279  000.209  000.209: require('vim.shared')
011.739  000.178  000.178: require('vim._options')
011.743  000.458  000.280: require('vim._editor')
011.746  000.752  000.086: require('vim._init_packages')
011.752  000.413: init lua interpreter
013.734  001.982: expanding arguments
013.770  000.036: inits 2
014.250  000.480: init highlight
